product_id,brand,title,price,category,rating,image_url,product_url
B08YRWN3WB,JANSPORT,Big Student Large laptop backpack Black EK0A5BAHN551,189.0,New season,4.7,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRWN3WB
B08YRXFZZM,JANSPORT,Superbreak Day Pack,119.0,New season,4.6,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXFZZM
B09Q2PQ7ZB,BAODINI,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella,17.79,New season,4.2,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09Q2PQ7ZB
B001BEAWXY,Calvin Klein,Men's Cotton Classics 3-Pack Boxer Brief,119.0,New season,4.2,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001BEAWXY
B09FM5PMN3,JANSPORT,Unisex Kids Bag Backpack,179.0,New season,4.4,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM5PMN3
B08YRVSZLJ,JANSPORT,Superbreak Backpack,129.0,New season,4.6,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRVSZLJ
B0BY12QTS5,yeuG,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks",19.0,New season,4.6,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BY12QTS
B09N2PJXRZ,adidas,unisex Classic 3-Stripes Backpack BACKPACK,77.0,New season,4.5,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2PJXRZ
B08GS7DWS1,Tommy Hilfiger,"THEO Men Watch, Analog",209.6,New season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS
B08YRXDNB9,JANSPORT,Unisex Basic Accessory Pouch Pencil case,,New season,4.6,https://m.media-amazon.com/images/I/51fQ6zVFiUL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXDNB9
B09F35Y815,Nike,Mens ELMNTL - LBR BACKPACK,119.0,New season,4.6,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09F35Y8
B08YRX1PF2,JANSPORT,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach",123.85,New season,4.6,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRX1PF
B0C8TJ79FM,livbote,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment",37.9,New season,4.5,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8TJ79FM
B09N2NDN9V,adidas,unisex Power Backpack BACKPACK,87.15,New season,4.6,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NDN9V
B09NYGYSM7,Nike,NK BRSLA XS DUFF - 9.5 (25L),109.0,New season,4.7,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYGYSM7
B08YRYDXYB,JANSPORT,Unisex Big Student Big Student,189.0,New season,4.6,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRYDXYB
B0FJFFY9D1,McMola,"White Shoe Cleaner,New Multi-functional Cleaning and Stain Removal Cream,White Shoes Cleaner, Multipurpose Cleaning Cream,All-Purpose Rinse-Free Cleaning Cream-1pc with Sponge",8.99,New season,,https://m.media-amazon.com/images/I/61XpSfqPWvL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0FJFFY9D
B07DRHG6XT,TIJN,Blue Light Blocking Glasses Photochromic Lens Sunglasses Anti Eyestrain and UVA/UVB for Women and Men,24.7,New season,4.3,https://m.media-amazon.com/images/I/61TnSoBdnNL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07DRHG6XT
B0DTZ4JKGH,Nike,Unisex ELMNTL - HBR BACKPACK,136.0,New season,5.0,https://m.media-amazon.com/images/I/71W9XnuJoHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DTZ4JKGH
B0774XP86B,Crep Protect,Ultimate Scuff Eraser - Sneaker Cleaner for Suede and Nubuck Shoes,49.0,New season,4.2,https://m.media-amazon.com/images/I/71xd1y8Y50L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0774XP86B
B09N2NJ73C,adidas,unisex Classic Badge of Sport Backpack BACKPACK,66.0,New season,4.5,https://m.media-amazon.com/images/I/81YzIPs6IDL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NJ73C
B0BW4LKCT5,PUJANE,Men's Dress Socks 5 Pairs Mens Cotton Calf Business Formal Soft Breathable Long Crew Casual Socks,49.99,New season,4.4,https://m.media-amazon.com/images/I/51PVatBRLFL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BW4LKCT
B0DRH43G9W,JANSPORT,Unisex Large Accesssory Pouch Accessories,56.0,New season,,https://m.media-amazon.com/images/I/71giCaqbZQL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DRH43G9W
B07W75NTVR,BANGE,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women",135.0,New season,4.5,https://m.media-amazon.com/images/I/71CNbs4-ukL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07W75NTVR
B09M6K1XD8,OCHEAL,"Makeup Bag, Portable Cosmetic Bag, Large Capacity Travel Makeup Case Organizer, Black Makeup Bags For Women Toiletry Bag for Girls Traveling With Handle and Divider",39.89,New season,4.7,https://m.media-amazon.com/images/I/71MRp+xH+6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09M6K1XD8
B0C7852Z79,Under Armour,Bgs Assert 10 Ufm Syn boys Shoes,107.29,New season,4.4,https://m.media-amazon.com/images/I/51LaOfAz70L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C7852Z79
